# Percent Error Rates for Total Sampled Time (minutes) analyis; TTS: 30 min - 180 min, sampling interval:30 seconds
30,40,50,60,70,80,90,100,110,120,Transcript,130,140,150,160,170,180
7.654,8.103,10.352,11.69,10.092,7.457,13.274,1.034,6.773,0.659,A1,2.685,6.412,3.981,0.547,1.712,4.976
6.435,3.502,1.979,5.215,5.835,2.686,2.345,9.965,3.715,0.982,A1,1.749,3.935,0.073,2.157,1.592,0.746
8.802,1.206,11.385,9.52,3.329,6.381,4.593,4.82,3.324,1.924,A1,1.484,8.057,5.459,10.302,0.041,0.925
3.574,18.515,3.507,17.914,1.3,10.174,6.3,0.322,1.973,10.13,A1,0.466,0.668,3.68,1.018,3.662,8.898
3.502,1.511,4.047,3.233,6.681,4.968,10.859,13.387,1.533,5.69,A1,4.291,4.582,0.804,0.758,1.244,4.506
0.202,1.35,8.135,3.439,14.352,13.322,0.19,8.06,0.34,2.677,A1,3.83,4.273,5.983,2.776,1.851,5.508
7.367,9.744,1.786,1.52,5.265,5.278,6.734,0.677,1.289,6.39,A1,2.453,4.036,8.429,7.363,8.144,4.36
2.847,5.52,8.244,1.789,6.389,3.897,0.453,6.704,8.421,6.022,A1,5.483,11.293,5.359,1.785,2.054,1.054
5.0,9.502,18.122,17.878,0.408,7.753,2.294,7.265,2.287,1.161,A1,9.763,2.022,0.932,5.217,3.491,0.315
1.96,21.474,4.67,6.453,1.544,1.596,9.675,8.716,0.609,3.35,A1,1.526,2.368,8.989,5.5,0.693,7.272
12.677,1.081,2.948,5.027,5.265,8.843,5.188,1.796,8.352,7.735,A1,4.572,5.566,2.718,9.65,1.738,0.868
5.681,5.054,6.069,4.39,3.866,0.211,5.0,4.939,10.71,0.794,A1,6.493,6.35,8.3,8.399,5.112,4.414
10.991,0.247,0.042,10.058,4.897,1.327,2.223,3.335,0.565,0.596,A1,11.178,2.859,4.555,0.486,0.7,1.729
1.852,0.211,1.056,5.753,2.299,5.928,4.533,9.62,5.603,7.556,A1,3.579,4.751,2.835,2.762,2.896,0.357
6.157,5.574,4.844,2.632,0.945,9.623,4.641,6.049,5.505,4.39,A1,5.723,4.513,2.962,0.056,6.232,2.686
15.941,5.681,9.213,9.807,12.369,7.349,5.311,0.128,7.266,8.829,A1,10.855,1.884,2.446,2.258,9.929,2.704
5.681,1.484,2.69,0.184,3.529,7.583,11.23,0.388,8.499,9.753,A1,0.383,2.252,5.265,4.471,1.744,4.82
4.722,12.65,6.264,1.17,5.034,18.354,1.137,14.119,5.222,4.435,A1,7.974,9.387,0.883,2.224,10.296,2.058
0.166,1.942,3.96,10.65,8.433,17.304,18.655,3.152,3.519,14.129,A1,0.706,8.795,5.323,1.881,1.092,3.989
19.421,2.444,15.604,1.511,11.554,1.229,0.719,10.46,2.326,0.058,A1,0.847,0.408,3.106,5.56,2.06,2.946
6.112,2.641,0.022,1.009,1.867,5.471,5.825,12.924,11.424,5.825,A1,7.47,4.413,0.932,1.791,6.15,0.743
8.157,5.672,16.056,2.955,0.361,5.471,13.406,5.866,8.998,13.941,A1,2.903,1.707,8.86,4.72,0.636,0.351
14.865,3.655,1.334,7.672,2.467,0.507,7.296,1.57,2.981,2.471,A1,0.863,3.345,3.386,6.589,9.638,3.063
7.941,0.005,5.21,4.372,3.175,12.3,11.469,1.518,2.394,0.202,A1,0.337,3.345,2.015,2.137,6.074,0.516
9.843,2.282,7.403,5.098,2.622,3.103,0.812,3.228,2.463,1.61,A1,10.16,17.42,4.863,6.589,2.155,1.753
41.734,3.116,10.244,3.421,5.02,0.61,2.01,6.198,0.551,0.381,A1,3.463,2.922,5.086,3.177,6.618,3.236
3.888,12.892,3.229,5.448,0.777,15.138,3.039,5.434,0.007,0.175,A1,7.498,1.637,9.649,0.641,3.238,0.677
15.726,1.619,0.387,4.031,3.329,6.65,11.373,5.563,0.809,3.421,A1,13.529,0.677,2.187,3.435,4.7,5.137
9.914,5.654,1.464,1.0,2.467,2.202,6.961,2.7,3.353,8.39,A1,2.213,2.029,4.98,1.354,7.283,3.009
6.04,6.166,0.776,1.099,1.377,0.274,10.728,6.673,3.705,16.138,A1,3.62,5.466,4.263,3.944,0.972,2.841
2.668,4.677,2.648,7.798,6.865,0.291,6.698,3.421,2.874,0.345,A1,5.152,2.805,10.094,6.233,1.858,4.53
5.726,11.923,1.077,3.421,3.066,1.273,6.937,2.83,4.498,2.453,A1,5.657,7.203,2.754,2.782,8.885,3.484
9.161,3.045,10.417,4.865,2.622,4.107,3.29,16.336,13.097,9.421,A1,1.612,1.306,5.28,1.0,2.345,9.753
0.704,22.604,0.108,1.17,5.343,9.264,0.827,7.457,2.971,2.758,A1,7.32,2.783,3.507,5.735,4.333,2.112
2.856,4.489,2.261,28.64,2.206,5.484,11.529,13.957,5.789,4.013,A1,4.145,5.105,1.845,6.724,6.783,9.239
0.049,2.202,14.657,7.457,1.361,4.511,0.847,4.541,2.883,1.152,A1,5.458,1.321,0.23,0.314,4.048,6.447
4.004,0.22,0.107,1.251,3.758,3.637,1.819,4.605,18.693,6.498,A1,2.754,2.753,3.653,0.675,7.346,6.805
4.435,9.574,1.011,0.543,3.282,5.507,6.399,0.367,3.255,4.91,A1,0.731,5.482,7.296,5.634,3.2,2.07
5.475,10.165,5.445,7.26,4.127,2.861,6.456,3.055,13.606,3.798,A1,1.567,5.666,8.666,0.058,6.593,4.414
3.897,7.206,0.15,3.412,2.284,2.238,3.278,6.801,4.801,1.143,A1,9.374,6.243,0.752,1.24,10.087,1.347
3.744,2.229,0.388,10.058,0.76,1.395,2.847,6.037,1.539,0.551,A1,0.325,3.236,3.696,1.307,5.2,4.145
3.61,0.641,2.153,1.116,7.465,6.332,5.359,8.867,2.58,2.65,A1,0.276,6.681,2.639,2.715,4.2,0.04
5.287,3.099,1.314,13.932,1.884,3.933,0.692,2.055,6.043,4.273,A1,0.044,8.487,1.859,2.161,8.815,4.052
12.793,6.031,12.354,1.556,12.554,0.529,5.359,1.841,4.601,7.663,A1,5.309,1.953,6.7,9.569,3.13,1.036
0.274,5.224,0.56,0.363,1.222,4.336,0.19,6.101,7.667,8.722,A1,9.713,1.721,7.403,8.876,11.1,6.817
2.785,10.39,3.185,8.784,13.876,4.314,1.078,5.961,2.981,3.179,A1,1.868,1.907,3.28,5.412,2.503,5.424
19.385,9.475,8.223,7.744,4.665,3.879,9.759,8.232,3.412,5.708,A1,8.728,3.475,3.208,3.038,6.245,1.415
36.353,10.551,12.806,1.466,6.588,9.233,1.9,12.956,2.492,1.421,A1,2.536,4.059,5.681,15.212,0.212,1.903
2.094,6.184,9.922,13.215,11.354,2.578,11.983,1.549,1.279,0.256,A1,3.363,2.713,3.543,5.237,1.858,0.788
7.224,11.547,5.812,2.426,8.433,3.152,6.542,2.604,4.171,7.376,A1,1.401,4.713,2.862,5.641,3.111,4.39
14.865,1.637,10.503,6.121,7.127,13.887,1.254,2.001,0.027,1.287,A1,6.802,2.29,4.361,0.644,7.391,0.901
0.731,17.735,5.617,2.695,3.268,3.022,7.355,12.139,5.026,3.448,A1,6.716,0.262,2.36,6.731,5.08,5.604
0.991,0.623,8.071,15.367,3.99,3.865,9.675,0.839,0.927,10.336,A1,3.562,10.87,16.615,7.457,1.82,16.001
16.309,1.484,2.195,4.516,4.544,5.444,2.094,3.712,12.217,0.372,A1,7.999,2.076,6.248,7.867,1.756,3.344
3.673,5.924,5.317,0.085,0.239,12.636,1.867,1.054,1.406,2.542,A1,4.845,3.935,1.047,11.91,0.478,2.028
11.278,7.807,2.883,2.327,6.189,4.659,10.955,5.391,0.883,5.125,A1,10.698,2.622,7.934,2.937,7.213,8.109
23.259,5.251,12.547,2.856,5.28,3.973,0.285,6.241,10.534,6.426,A1,1.686,0.199,0.022,8.116,2.352,10.572
7.798,0.462,1.678,5.269,0.376,1.794,3.55,3.337,5.149,3.332,A1,9.291,0.892,7.755,5.264,7.834,0.584
12.569,0.408,9.771,3.502,2.945,7.605,9.902,6.553,2.723,9.457,A1,2.097,1.231,2.84,0.016,3.036,4.803
9.663,5.968,9.256,8.157,3.529,1.556,5.454,2.055,1.895,7.834,A1,1.062,6.858,5.229,0.166,2.01,1.377
2.713,26.667,12.397,2.973,9.986,1.242,0.608,1.387,4.85,8.462,A1,4.564,7.465,7.941,3.22,2.168,2.686
12.614,12.031,20.361,5.179,3.729,2.188,2.094,3.012,8.871,6.829,A1,0.756,7.08,2.037,2.964,0.333,6.692
0.803,0.677,7.123,4.345,1.53,8.668,1.72,4.207,6.675,0.91,A1,1.484,12.115,3.529,2.177,11.335,4.853
3.601,4.363,0.473,29.411,1.115,2.511,3.502,4.498,2.263,5.78,A1,8.082,2.106,1.342,2.581,4.327,8.3
2.13,3.843,17.606,10.856,2.929,2.695,11.098,1.753,1.138,3.538,A1,0.842,6.465,6.176,6.502,2.548,0.501
17.268,8.444,6.2,0.067,3.929,9.879,7.642,9.566,19.447,4.928,A1,4.647,7.388,1.578,4.213,1.789,0.277
5.036,0.785,5.445,4.856,1.669,1.838,13.454,4.476,0.271,12.506,A1,0.304,3.537,0.975,0.217,0.851,2.788
9.053,32.344,4.112,4.202,18.257,7.112,4.258,1.938,0.159,6.201,A1,0.449,4.059,5.208,4.921,2.022,4.121
2.094,13.457,3.832,11.17,8.633,2.049,5.595,6.747,7.325,1.484,A1,1.286,7.311,0.422,10.477,3.922,2.106
0.56,2.399,4.779,0.65,2.376,2.83,1.628,0.862,6.758,7.323,A1,0.739,3.312,6.047,1.74,5.618,1.514
5.619,12.085,5.079,0.65,0.546,3.65,0.97,8.641,10.446,3.484,A1,7.92,3.183,7.023,1.108,3.694,4.62
7.619,4.058,1.357,4.677,10.063,8.762,7.786,4.325,6.484,3.072,A1,2.511,3.368,2.304,0.527,12.563,1.855
5.287,10.632,12.978,0.399,7.096,3.829,4.124,3.012,16.394,7.009,A1,7.229,1.815,2.266,1.0,6.422,2.007
19.815,1.96,0.322,3.412,8.356,0.789,8.193,0.462,1.969,3.879,A1,5.491,6.811,2.096,6.515,7.163,0.776
6.085,0.005,2.152,0.91,5.419,5.305,0.572,6.241,13.224,17.206,A1,3.251,11.124,5.803,12.239,2.593,9.352
4.901,17.466,0.516,3.359,3.483,11.076,8.216,1.366,7.839,0.013,A1,1.948,8.21,7.109,0.859,1.447,1.365
7.726,8.749,13.817,12.82,0.176,12.125,4.689,2.713,1.993,1.341,A1,0.102,4.236,5.222,7.013,4.137,1.401
8.417,5.323,8.523,5.493,0.654,5.668,0.202,16.583,5.466,5.502,A1,9.945,3.912,6.126,2.52,3.326,1.58
7.879,4.121,8.135,5.341,7.465,1.152,2.74,6.639,2.042,6.874,A1,2.958,0.714,3.653,4.155,12.056,5.577
5.143,12.623,11.191,6.489,2.544,6.829,7.116,3.143,2.433,1.412,A1,11.195,7.865,5.172,5.022,4.58,12.33
26.595,4.686,11.536,23.833,1.806,11.439,5.861,5.455,4.566,4.273,A1,5.375,4.39,6.514,1.397,1.927,4.498
12.928,20.587,7.879,4.3,5.157,5.695,9.424,17.519,3.333,2.381,A1,1.86,5.282,2.978,4.652,0.142,2.124
2.022,13.071,3.122,1.646,7.203,0.17,2.294,3.594,5.848,4.847,A1,2.685,8.564,0.546,6.098,2.187,4.055
2.39,16.954,1.981,3.673,10.032,1.269,6.542,1.14,0.349,7.116,A1,0.602,3.635,4.162,1.67,4.055,4.976
2.812,9.304,2.41,4.408,11.108,4.054,15.75,0.065,2.081,3.52,A1,4.07,19.987,2.295,4.598,0.801,4.516
7.116,4.946,1.764,2.65,7.895,2.91,3.971,2.55,8.166,2.776,A1,2.536,3.168,1.649,0.823,5.681,0.572
5.87,9.547,5.274,6.067,4.79,0.224,0.886,9.631,1.68,7.78,A1,3.744,6.266,2.747,1.114,2.149,8.24
2.704,16.255,1.291,0.632,0.422,12.058,5.06,4.887,13.87,7.87,A1,4.178,3.222,13.609,2.54,3.896,7.965
4.569,1.726,4.562,0.175,6.143,4.874,10.704,1.271,4.625,5.637,A1,2.709,7.134,3.07,8.385,1.674,10.728
0.022,0.265,15.841,0.892,0.683,13.914,5.538,6.306,0.839,1.377,A1,2.743,1.936,3.925,0.426,0.579,3.248
12.183,2.794,0.752,4.39,1.283,0.865,0.501,0.516,0.287,3.045,A1,3.546,9.494,6.736,5.116,0.566,6.752
3.673,3.045,26.387,9.914,17.212,6.717,14.578,1.809,2.419,3.78,A1,1.658,4.206,12.031,2.007,2.137,5.353
0.776,6.919,4.756,1.206,4.436,5.574,2.309,4.671,2.883,1.708,A1,13.769,11.293,2.103,6.69,1.459,2.809
5.116,3.708,0.709,2.031,5.835,14.398,10.763,14.054,9.742,5.538,A1,7.594,4.505,3.378,1.841,1.826,5.819
1.134,4.596,10.632,19.457,4.404,0.785,9.328,2.227,10.955,0.686,A1,0.963,1.469,2.302,12.239,3.339,4.45
5.143,2.471,4.09,8.013,4.651,6.26,6.435,3.777,5.603,0.283,A1,3.773,3.844,3.873,0.137,7.049,4.049
3.143,4.031,3.895,2.56,5.312,4.444,6.674,0.085,2.282,6.865,A1,0.094,0.468,5.423,0.173,1.617,2.922
25.447,9.26,1.271,10.363,2.914,0.798,10.584,3.131,2.136,2.103,A1,4.92,1.377,6.148,5.049,9.505,0.372
5.224,7.098,8.931,5.143,0.039,1.188,2.629,6.015,12.412,6.166,A1,5.875,8.856,1.027,2.363,1.751,10.745
3.852,0.22,11.753,9.627,1.454,9.681,4.16,2.745,2.018,2.614,A1,3.902,3.637,3.766,4.787,1.902,4.922
4.06,0.217,0.063,4.419,5.681,0.271,2.122,1.588,0.354,3.42,A2,5.746,3.938,2.564,3.763,3.393,1.742
2.759,5.859,2.723,6.879,2.021,1.186,0.332,7.342,0.032,1.399,A2,2.615,1.533,0.978,2.954,6.625,1.498
6.96,9.916,5.304,5.524,8.226,5.829,0.576,1.754,0.143,1.752,A2,2.784,1.716,2.804,3.869,5.362,0.935
2.406,12.592,2.576,11.514,5.106,8.208,1.973,2.247,3.672,2.09,A2,4.17,0.008,1.872,3.656,4.347,2.244
9.237,3.663,7.988,7.699,0.419,0.934,0.739,4.438,0.666,0.4,A2,2.978,1.011,0.896,0.057,0.486,0.61
9.753,2.474,1.21,0.38,12.233,12.493,1.619,0.095,6.932,4.273,A2,1.139,0.418,0.994,0.53,3.059,0.705
1.376,10.457,1.576,7.415,6.414,7.362,2.501,3.23,0.977,5.994,A2,3.785,1.682,3.422,0.972,3.281,0.311
9.428,9.062,5.841,1.295,1.411,2.017,5.239,5.255,1.188,4.111,A2,0.822,7.293,2.84,0.301,3.321,3.633
0.291,8.719,3.987,1.356,2.875,8.07,1.132,8.103,2.494,4.528,A2,3.131,0.767,0.974,3.412,0.343,1.498
8.831,5.097,7.505,9.265,7.214,10.732,6.513,1.23,4.846,1.315,A2,1.057,0.557,1.283,6.141,0.264,1.654
6.472,9.298,8.525,0.047,1.655,1.536,5.293,5.089,2.186,2.03,A2,0.172,0.208,0.392,4.304,2.804,2.034
8.709,0.126,5.065,4.236,0.296,7.56,1.457,1.649,0.3,0.627,A2,5.643,2.014,2.398,6.912,3.701,0.868
11.583,5.852,4.67,2.677,8.504,10.915,6.175,3.308,3.472,2.395,A2,3.344,0.139,3.125,4.022,0.748,1.945
5.036,2.619,1.181,0.725,1.865,6.576,0.4,0.368,5.544,4.731,A2,5.543,1.412,0.669,3.992,3.773,3.083
10.648,4.846,0.4,1.552,6.275,5.905,0.169,2.723,1.265,0.84,A2,0.466,2.849,3.832,0.172,2.843,0.265
0.4,3.046,3.352,3.646,7.65,2.345,1.688,1.779,2.995,3.013,A2,2.002,6.779,3.613,6.027,5.613,3.388
2.324,3.351,2.918,2.84,3.485,1.414,9.563,0.881,2.816,0.027,A2,1.814,1.934,5.74,3.168,0.468,4.581
4.223,7.926,2.357,0.454,2.266,4.251,2.65,4.377,5.69,2.385,A2,4.773,2.266,5.979,0.865,3.496,6.459
7.651,3.602,0.059,3.653,6.745,6.614,4.561,3.138,0.079,2.019,A2,2.652,1.054,2.051,2.764,3.888,3.51
10.701,6.652,0.693,1.722,6.397,1.864,3.815,0.73,1.186,6.957,A2,0.926,1.857,2.471,2.177,1.634,0.935
3.829,1.925,1.083,7.496,6.553,1.468,1.253,0.071,5.711,5.371,A2,1.739,2.397,1.279,2.093,0.709,0.101
11.786,5.798,7.993,1.742,4.061,8.978,4.277,3.816,9.106,3.247,A2,4.686,0.383,2.059,2.703,0.612,1.884
5.577,5.493,19.016,2.047,1.064,1.369,1.904,4.548,1.321,2.792,A2,1.129,14.161,1.766,1.033,0.863,3.646
3.788,0.21,3.992,0.481,1.987,2.985,2.61,7.769,7.199,4.721,A2,5.233,0.862,4.158,4.129,1.329,3.687
12.843,6.317,5.651,5.029,1.848,0.583,3.409,0.625,8.873,3.602,A2,5.371,0.243,0.774,3.846,3.07,5.781
14.768,3.29,5.895,2.731,3.746,0.736,0.63,2.279,1.443,0.464,A2,2.443,0.689,1.14,3.122,4.896,4.229
1.064,2.589,2.43,4.467,1.482,1.224,1.091,4.999,1.077,0.878,A2,6.078,4.401,1.523,0.118,2.402,3.436
12.03,0.492,8.042,1.234,10.787,2.215,1.511,3.157,1.818,2.372,A2,1.245,3.938,7.931,7.43,4.817,1.884
4.67,2.627,1.674,3.504,3.172,6.035,3.802,13.336,4.369,4.172,A2,0.438,0.236,4.545,1.414,1.103,3.836
20.041,1.468,6.012,0.563,1.899,8.009,8.912,5.231,4.526,3.653,A2,0.163,1.09,6.679,0.72,1.9,5.415
5.008,1.376,7.378,2.121,5.576,11.608,2.84,1.254,3.727,2.22,A2,2.53,4.314,6.614,0.012,1.921,1.538
8.424,3.968,5.895,9.041,7.005,2.116,4.805,5.626,0.522,1.447,A2,1.92,2.528,2.999,1.59,3.945,3.741
0.888,2.474,1.62,8.818,5.594,4.822,3.057,0.832,0.522,2.924,A2,2.668,0.94,2.734,3.961,7.634,3.159
6.215,0.065,3.674,6.574,0.243,4.952,0.006,4.565,3.415,6.459,A2,0.053,5.672,5.06,1.506,5.51,7.306
6.513,2.223,2.913,2.243,4.497,5.486,6.838,0.888,3.459,1.915,A2,0.51,5.001,5.545,9.908,2.496,5.374
9.224,4.395,0.039,3.389,0.487,8.604,4.602,1.942,4.626,1.874,A2,0.935,2.596,0.571,5.005,2.539,3.26
2.406,0.362,1.425,0.759,0.888,7.346,5.645,2.23,3.295,3.9,A2,4.17,1.831,3.837,2.726,2.169,3.416
9.075,8.665,0.132,1.348,7.93,2.474,12.274,0.62,5.289,2.152,A2,5.449,0.418,4.569,0.339,2.008,0.922
5.727,8.597,7.11,4.683,1.813,0.659,7.611,1.01,5.346,6.317,A2,1.526,0.68,5.028,4.258,5.761,0.047
15.134,0.667,2.986,5.748,7.285,5.509,3.693,3.304,0.201,0.471,A2,5.937,2.737,0.722,1.064,1.986,2.223
6.35,11.105,0.571,3.422,0.487,0.431,5.279,5.297,2.452,2.223,A2,6.047,1.099,4.423,5.852,1.143,2.555
13.535,8.017,4.206,1.633,0.14,1.285,6.025,5.56,2.838,1.674,A2,2.284,1.611,2.848,1.445,2.75,1.688
7.069,2.101,8.501,0.271,2.162,0.088,6.079,3.125,5.047,3.226,A2,1.739,1.081,0.063,2.009,2.104,0.318
6.825,2.627,3.284,0.136,4.67,2.855,1.485,3.613,0.653,3.44,A2,5.552,3.059,1.747,0.049,0.418,4.731
4.141,7.651,7.012,6.289,4.478,2.314,0.63,4.431,0.356,7.001,A2,2.483,1.43,0.913,3.29,10.73,0.162
16.15,0.278,4.45,9.387,4.218,1.201,5.754,5.512,1.831,0.006,A2,1.235,0.062,4.182,1.49,3.238,1.532
9.834,3.877,1.405,5.659,7.598,3.61,0.17,3.857,2.971,3.918,A2,2.894,10.168,6.549,1.773,1.8,3.05
0.779,2.871,1.864,2.881,4.043,2.619,0.902,4.475,0.289,0.698,A2,4.989,0.278,0.913,2.192,0.569,4.927
4.276,4.693,3.889,1.308,2.701,2.467,3.693,9.184,2.053,5.029,A2,0.663,4.514,3.357,2.291,8.136,1.125
